Rank,Name,Uploads,Subscribers,Views,Uploads
1,T-Series,1,132M,"102,499,269,913","14,352"
10,Canal KondZilla,1,56.2M,"28,960,275,036","1,353"
14,Ed Sheeran,1,43.8M,"19,419,760,405",161
16,EminemMusic,1,41.7M,"866,060,152",134
17,Ariana Grande,1,40.1M,"983,537,495",171
18,JuegaGerman,1,38.5M,"10,669,001,012","1,683"
20,Katy Perry,1,36.5M,"365,862,324",103
27,Wave Music,1,32.4M,"21,918,243,173","17,755"
28,Você Sabia?,1,32.3M,"4,396,902,739","1,028"
30,One Direction,1,30.7M,"362,608,729",157
31,Pinkfong! Kids' Songs & Stories,1,30.3M,"12,662,235,517","1,508"
32,Maroon 5,1,29.9M,"320,281,736",157
38,Trap Nation,1,28.2M,"10,415,014,094","1,865"
39,Aaj Tak,1,28M,"8,363,268,821","100,744"
42,TaylorSwiftVEVO,1,26.9M,"18,400,583,106",118
45,BANGTANTV,1,26.3M,"3,681,250,120","1,162"
47,ABS-CBN Entertainment,1,25.6M,"34,424,665,188","140,342"
49,Billion Surprise Toys - BST Kids S…,1,25.2M,"6,889,412,916",194
51,Smosh,1,25.1M,"9,333,042,108","1,108"
52,VanossGaming,1,24.9M,"12,254,811,115","1,140"
53,XXXTENTACION,1,24.3M,"4,741,740,464",103
57,shane,1,23.2M,"5,510,126,970","1,685"
61,enchufetv,1,22.7M,"8,297,753,529","1,302"
63,WatchMojo.com,1,22M,"13,169,687,739","17,832"
71,KSI,1,21.1M,"5,198,986,702","1,211"
81,ABP NEWS,1,19.5M,"4,952,413,734","140,489"
84,Skrillex,1,19.2M,"5,357,913,741",172
86,shakiraVEVO,1,19M,"17,429,078,431",165
88,Las Ratitas,1,18.7M,"6,134,274,536",163
89,ChrisBrownTV,1,18.6M,"34,674,521",18
90,Juan De Dios Pantoja,1,18.5M,"1,485,213,701",190
91,ArianaGrandeVevo,1,18.4M,"13,655,525,645",111
92,DisneyMusicVEVO,1,18.2M,"11,513,031,789","1,150"
96,Liza Koshy,1,17.8M,"2,398,534,176",168
101,IndiaTV,1,17M,"6,002,184,345","156,666"
107,Werevertumorro,1,16.6M,"2,707,330,691","1,051"
108,ashish chanchlani vines,1,16.5M,"1,729,610,644",132
112,Porta dos Fundos,1,16.3M,"5,673,358,515","1,389"
117,Demi Lovato,1,16M,"407,229,032",191
119,A4,1,15.8M,"1,518,063,294",176
