Rank,Name,Uploads,Subscribers,Views
1,T-Series,"14,299",132M,"102,964,178,912"
2,YouTube Movies,N/A,106M,N/A
3,Gaming,N/A,83.8M,N/A
4,Sports,N/A,75.3M,N/A
5,5-Minute Crafts,"3,911",65.1M,"17,254,122,788"
6,Music,N/A,109M,N/A
7,PewDiePie,"4,089",103M,"24,897,919,154"
8,Cocomelon - Nursery Rhymes,510,75.8M,"54,110,586,143"
9,SET India,"36,574",67.3M,"50,296,183,689"
10,Canal KondZilla,"1,360",56.3M,"29,025,526,367"
11,WWE,"46,590",55.8M,"40,254,552,936"
12,Zee Music Company,"4,673",51.8M,"24,425,675,337"
13,Dude Perfect,227,49.8M,"10,156,040,096"
14,Ed Sheeran,161,43.8M,"19,452,474,651"
15,Badabun,"5,231",42.7M,"15,735,603,123"
16,EminemMusic,134,41.7M,"871,896,428"
17,Ariana Grande,171,40.1M,"985,263,156"
18,JuegaGerman,"1,687",38.5M,"10,691,474,493"
19,elrubiusOMG,826,37.2M,"8,452,340,926"
20,Katy Perry,103,36.5M,"365,917,914"
21,Vlad and Nikita,211,35.9M,"16,869,570,162"
22,Movieclips,"35,116",34.9M,"33,725,472,519"
23,News,N/A,34.1M,N/A
24,BRIGHT SIDE,"3,159",33.7M,"6,462,341,927"
25,Shemaroo Filmi Gaane,"6,727",33.5M,"16,098,967,034"
26,Alan Walker,216,33.1M,"7,787,258,031"
27,Wave Music,"17,771",32.5M,"21,991,563,974"
28,Você Sabia?,"1,031",32.4M,"4,428,276,863"
29,Sony Music India,"2,585",31.5M,"12,865,863,692"
30,One Direction,157,30.7M,"363,074,335"
31,Pinkfong! Kids' Songs & Stories,"1,511",30.4M,"12,739,001,476"
32,Maroon 5,157,30M,"320,359,252"
33,Popular on YouTube,N/A,29.6M,N/A
34,VEGETTA777,"5,809",29.1M,"11,965,074,365"
35,Speed Records,"7,934",28.8M,"14,798,876,255"
36,SAB TV,"23,528",28.5M,"24,580,398,133"
37,Daddy Yankee,352,28.4M,"10,325,743,703"
38,Trap Nation,"1,870",28.3M,"10,435,185,501"
39,Aaj Tak,"100,948",28.2M,"8,454,515,622"
40,Billie Eilish,27,27.7M,"608,998,826"
41,T-Series Bhakti Sagar,"20,680",27.4M,"11,421,529,787"
42,Like Nastya Show,290,26.9M,"9,723,641,313"
43,Spinnin' Records,"9,424",26.8M,"16,061,827,818"
44,Tips Official,"2,757",26.6M,"11,758,760,869"
45,rezendeevil,"8,726",26.4M,"9,852,640,391"
46,ABS-CBN Entertainment,"140,052",25.7M,"34,482,289,450"
47,Little Baby Bum - Nursery Rhymes &…,"1,144",25.7M,"23,293,040,506"
48,LooLoo Kids - Nursery Rhymes and C…,450,25.5M,"10,810,290,506"
49,Billion Surprise Toys - BST Kids S…,194,25.2M,"6,891,080,922"
50,Markiplier,"4,622",25.1M,"12,640,182,771"
51,Smosh,"1,108",25.1M,"9,339,726,045"
52,VanossGaming,"1,142",24.9M,"12,267,796,842"
53,Yuya,633,24.3M,"2,478,323,832"
54,The Tonight Show Starring Jimmy Fa…,"5,915",24.3M,"13,585,475,494"
55,Boram Tube Vlog [보람튜브 브�…,223,23.8M,"9,287,767,529"
56,Colors TV,"37,234",23.6M,"17,445,755,018"
57,shane,"1,685",23.2M,"5,513,915,230"
58,CVS 3D Rhymes & Kids Songs,338,23.1M,"13,804,008,508"
59,Maluma,8,23M,"329,641,076"
60,WORLDSTARHIPHOP,"4,777",23M,"15,130,803,062"
61,enchufetv,"1,307",22.7M,"8,320,479,721"
62,DanTDM,"3,325",22.5M,"16,258,391,556"
63,WatchMojo.com,"17,849",22M,"13,185,131,111"
64,Ch3Thailand,"69,371",21.8M,"16,328,455,152"
