Rank,Name,Uploads,Subscribers,Views
1,T-Series,"14,299",132M,"102,963,800,188"
2,SET India,"36,574",67.3M,"50,296,183,689"
3,WWE,"46,590",55.8M,"40,254,552,936"
4,netd müzik,"12,207",16.6M,"34,488,177,558"
5,Movieclips,"35,116",34.9M,"33,725,472,519"
6,Cocomelon - Nursery Rhymes,510,75.8M,"54,110,586,143"
7,Zee TV,"99,478",42M,"41,086,190,259"
8,Ryan's World,"1,671",24.3M,"37,214,868,510"
9,ABS-CBN Entertainment,"140,052",25.7M,"34,482,289,450"
10,Canal KondZilla,"1,360",56.3M,"29,025,526,367"
11,Like Nastya,388,50M,"28,293,240,590"
12,PewDiePie,"4,089",103M,"24,897,919,154"
13,Zee Music Company,"4,673",51.8M,"24,425,675,337"
14,Little Baby Bum - Nursery Rhymes &…,"1,144",25.7M,"23,293,040,506"
15,Get Movies,"3,090",30.5M,"22,741,795,294"
16,Wave Music,"17,771",32.5M,"21,991,563,974"
17,JustinBieberVEVO,138,32.9M,"19,884,095,316"
18,TheEllenShow,"11,604",37M,"19,291,190,315"
19,Super Simple Songs - Kids Songs,496,21.3M,"18,782,288,590"
20,GMM GRAMMY OFFICIAL,"7,656",17.9M,"17,477,220,129"
21,Colors TV,"37,234",23.6M,"17,445,755,018"
22,one31,"84,917",21.7M,"17,008,335,631"
23,BuzzFeedVideo,"6,674",20M,"16,586,782,573"
24,DanTDM,"3,325",22.5M,"16,258,391,556"
25,Spinnin' Records,"9,424",26.8M,"16,061,827,818"
26,SMTOWN,"3,505",21.6M,"15,856,492,297"
27,YRF,"3,763",28.9M,"15,500,860,364"
28,WORLDSTARHIPHOP,"4,777",23M,"15,130,803,062"
29,FunToys Collector Disney Toys Revi…,"2,880",11.6M,"14,886,138,386"
30,Speed Records,"7,934",28.8M,"14,798,876,255"
31,Galinha Pintadinha,51,20.9M,"14,470,002,243"
32,قناة طيور الجنة | toy…,"2,614",17.6M,"14,276,050,932"
